Item weights: [144, 85, 75, 31, 157, 197, 139, 62, 25, 168, 73, 120, 104, 134, 98, 125, 37, 95, 135, 5, 162, 181, 186, 178, 15, 96, 189, 34, 170, 129, 88, 173, 26, 163, 40, 101, 142, 53, 178, 79, 52, 139, 140, 59, 104, 148, 98, 9, 130, 131, 68, 9, 38, 101, 57, 47, 109, 164, 119, 107, 68, 192, 153, 23, 97, 130, 125, 56, 98, 126, 174, 158, 161, 104, 74, 185, 161, 53, 170, 81, 158, 186, 200, 105, 179, 181, 2, 192, 138, 67, 188, 6, 7, 101, 15, 8, 198, 25, 121, 53, 189, 35, 151, 19, 123, 94, 151, 80, 184, 136, 20, 42, 198, 148, 185, 14, 34, 84, 135, 139, 82, 137, 111, 37, 126, 71, 109, 2, 11, 135, 180, 35, 88, 138, 173, 29, 148, 35, 25, 74, 111, 197, 195, 50, 109, 186, 9, 13, 125, 114, 56, 32, 97, 168, 76, 176, 172, 102, 38, 166, 121, 118, 126, 93, 69, 165, 34, 19, 168, 75, 30, 59, 58, 95, 135, 124, 181, 64, 138, 14, 127, 146, 96, 1, 135, 110, 101, 4, 83, 105, 21, 16, 99, 27, 175, 154, 192, 11, 100, 60].
Resulting configuration: [605, 387, 358, 273, 473, 647, 542, 533, 262, 228, 364, 286, 590, 513, 616, 200, 214, 362, 329, 563, 514, 318, 224, 405, 504, 242, 404, 245, 459, 587, 269, 377, 484, 446, 374, 221, 635, 394, 321, 229, 564, 322, 345, 608, 335, 501, 599, 464, 260, 493]. With fitness 0.22371364653243847.
Resulting configuration: [373, 496, 516, 576, 269, 421, 336, 318, 530, 539, 267, 400, 381, 449, 425, 549, 426, 543, 400, 582, 296, 509, 267, 426, 550, 380, 367, 455, 387, 313, 383, 573, 289, 522, 556, 196, 289, 546, 237, 208, 567, 320, 379, 491, 269, 539, 300, 288, 240, 550]. With fitness 0.25906735751295334.
Resulting configuration: [323, 287, 456, 432, 596, 594, 513, 483, 487, 336, 364, 279, 399, 327, 530, 511, 341, 247, 535, 517, 515, 404, 264, 306, 455, 381, 415, 309, 336, 334, 334, 441, 296, 388, 493, 456, 348, 490, 333, 375, 435, 574, 475, 481, 450, 221, 310, 522, 371, 419]. With fitness 0.26666666666666666.
Resulting configuration: [326, 578, 602, 316, 409, 486, 579, 598, 540, 425, 240, 411, 269, 342, 601, 433, 426, 260, 602, 215, 307, 506, 334, 418, 460, 593, 553, 479, 313, 568, 356, 314, 227, 582, 392, 392, 252, 475, 252, 393, 497, 215, 225, 296, 397, 522, 226, 314, 491, 481]. With fitness 0.25839793281653745.
Resulting configuration: [280, 452, 536, 563, 347, 235, 431, 287, 483, 284, 534, 468, 593, 289, 342, 353, 499, 462, 488, 481, 394, 287, 313, 367, 300, 575, 498, 371, 446, 205, 453, 241, 460, 536, 588, 249, 468, 289, 585, 452, 228, 400, 307, 265, 268, 554, 457, 571, 364, 590]. With fitness 0.25773195876288657.

Item weights: [42, 103, 25, 106, 54, 121, 3, 69, 112, 137, 123, 79, 123, 62, 181, 175, 184, 110, 36, 121, 173, 48, 131, 138, 64, 5, 157, 187, 83, 86, 16, 126, 4, 98, 179, 50, 138, 194, 28, 96, 13, 170, 140, 88, 57, 148, 72, 39, 175, 113, 6, 28, 43, 2, 49, 37, 20, 21, 25, 72, 25, 9, 82, 199, 150, 76, 30, 13, 156, 78, 65, 199, 88, 93, 79, 199, 62, 33, 29, 46, 153, 183, 170, 98, 49, 4, 140, 18, 192, 85, 27, 80, 38, 96, 20, 189, 21, 73, 143, 23, 193, 91, 31, 37, 145, 128, 37, 37, 167, 143, 187, 63, 27, 153, 62, 175, 17, 120, 77, 176, 61, 195, 179, 167, 192, 1, 109, 164, 197, 113, 197, 115, 93, 108, 155, 74, 162, 77, 188, 153, 44, 123, 13, 197, 37, 11, 193, 31, 43, 144, 170, 182, 45, 199, 54, 167, 37, 82, 194, 143, 59, 21, 59, 84, 140, 93, 85, 155, 165, 81, 32, 131, 84, 61, 143, 120, 166, 14, 146, 178, 111, 34, 133, 13, 189, 174, 141, 92, 42, 27, 48, 119, 70, 10, 187, 82, 118, 159, 17, 108].
Resulting configuration: [520, 364, 569, 211, 441, 489, 516, 372, 382, 395, 497, 386, 319, 363, 411, 197, 415, 504, 189, 464, 439, 425, 187, 481, 302, 179, 552, 359, 408, 298, 340, 529, 548, 371, 538, 216, 519, 540, 249, 224, 305, 411, 492, 368, 376, 232, 313, 414, 540, 405]. With fitness 0.2564102564102564.
Resulting configuration: [415, 529, 485, 380, 247, 493, 261, 322, 387, 553, 453, 202, 429, 513, 326, 253, 358, 415, 421, 250, 500, 228, 250, 515, 424, 363, 554, 323, 446, 222, 240, 282, 327, 332, 518, 406, 446, 375, 375, 456, 238, 450, 205, 526, 526, 488, 470, 340, 511, 536]. With fitness 0.2840909090909091.
Resulting configuration: [354, 272, 346, 293, 334, 564, 406, 321, 411, 301, 583, 195, 411, 393, 425, 293, 432, 235, 473, 338, 447, 299, 326, 629, 374, 442, 287, 458, 599, 197, 433, 223, 412, 461, 320, 613, 293, 404, 455, 480, 197, 553, 230, 257, 642, 442, 312, 596, 341, 462]. With fitness 0.22371364653243847.
